title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime 
Body Double,1984,Columbia Pictures," October 26, 1984",6.7,A struggling actor's obsession with spying on a beautiful woman who lives nearby leads to a baffling series of events with drastic consequences.,Brian De Palma,Mystery,114
Romeo and Juliet,1968,Paramount Pictures," October 8, 1968",7,"When two young members of feuding families meet, forbidden love ensues.",Franco Zeffirelli,Drama,138
Time After Time,1979,Orion Pictures," September 28, 1979",7.7,H.G. Wells pursues Jack the Ripper to the 20th Century when the serial murderer uses the future writer's time machine to escape his time period.,Nicholas Meyer,Adventure,112
Lion,2016,"Weinstein Company, The"," November 25, 2016",7.9,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",Garth Davis,Drama,118
The September Issue,2009,Roadside Attractions," August 28, 2009",6.8,"The September 2007 issue of Vogue magazine weighed nearly five pounds, and was the single largest issue of a magazine ever published. With unprecedented access, 'The September Issue,' directed and produced by R.J. Cutler, tells the story of legendary Vogue editor in chief Anna Wintour and her larger-than-life team of editors creating the… Expand",R.J. Cutler,Documentary,90
Fresh Dressed,2015,Samuel Goldwyn Films," June 26, 2015",-1,"Fresh Dressed chronicles the history of Hip-Hop | Urban fashion and its rise from southern cotton plantations to the gangs of 1970s in the South Bronx, to corporate America, and everywhere in-between. Supported by rich archival materials and in depth interviews with individuals crucial to the evolution of a way of life--and the outsiders… Expand",Sacha Jenkins,History,90
Amour Fou,2015,Film Movement," March 18, 2015",7.5,"Berlin, the Romantic Era. Young poet Heinrich wishes to conquer the inevitability of death through love, yet is unable to convince his skeptical cousin Marie to join him in a suicide pact. It is whilst coming to terms with this refusal, ineffably distressed by his cousin's insensitivity to the depth of his feelings, that Heinrich meets… Expand",Jessica Hausner,Drama,96
Beeswax,2009,Cinema Guild," August 7, 2009",6.6,"A film about families, friends, lovers and those awkward moments that bring all of them together. [Cinema Guild]",Andrew Bujalski,Drama,100
Cinderella Man,2005,Universal Pictures," June 3, 2005",8.6,"In the middle of the Great Depression, when an America in the grips of a devastating economic downturn was nearly brought to its knees, there came along a most unlikely hero who had crowds cheering on their feet as he proved just how hard a man would fight to win a second chance for his family and himself. That common-man hero was James J.… Expand",Ron Howard,Biography,144
The Last Lions,2011,National Geographic Entertainment," February 18, 2011",8.4,"From the lush wetlands of Botswana’s Okavango Delta comes the suspense-filled tale of a determined lioness ready to try anything—and willing to risk everything—to keep her family alive. In the new wildlife adventure, The Last Lions, filmmakers Dereck and Beverly Joubert follow the epic journey of a lioness named Ma di Tau (“Mother of… Expand",Dereck Joubert,Documentary,88
I Went Down,1998,Artisan Entertainment," June 24, 1998",-1,"Fresh out of prison, Git rescues a former best friend (now living with Git's girlfriend) from a beating at the hands of loan sharks. He's now in trouble with the mob boss, Tom French, who sends Git to Cork with another debtor, Bunny Kelly, to find a guy named Frank Grogan, and take him to a man with a friendly face at a shack across a bog.… Expand",Paddy Breathnach,Action,107
The Miseducation of Cameron Post,2018,Atlantic Film," August 3, 2018",6.7,"Cameron Post (Chloë Grace Moretz) looks the part of a perfect high school girl. But after she’s caught with another girl in the back seat of a car on prom night, Cameron is quickly shipped off to a conversion therapy center that treats teens “struggling with same-sex attraction.” At the facility, Cameron is subjected to outlandish… Expand",Director:,Drama,91
Rocketman,2019,Paramount Pictures," May 31, 2019",7.4,"The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",Dexter Fletcher,Biography,121
The Cooler,2003,Lions Gate Films," November 26, 2003",6.7,William H. Macy stars as the unluckiest guy in Vegas. (Lions Gate Films),Wayne Kramer,Drama,101
Eating Raoul,1982,20th Century Fox International Classics," March 24, 1982",-1,"A relatively boring Los Angeles couple discovers a bizarre, if not murderous, way to get funding for opening a restaurant.",Paul Bartel,Comedy,90
Wildhood,2022,Wolfe Releasing," June 17, 2022",-1,A rebellious two-spirit teenager runs away from home to find his birth mother and reclaim his Mi'kmaw heritage.,Bretten Hannam,Drama,99
Monsoon,2020,Strand Releasing," November 13, 2020",6.8,"Kit (Henry Golding) returns to Ho Chi Minh City for the first time since he was six years old when his family fled the country in the aftermath of the Vietnam-American war. There he meets Lee, his estranged second cousin, Linh, a young Vietnamese student, and arranges an online date that turns into something more with Lewis (Parker… Expand",Hong Khaou,Drama,85
The Little Hours,2017,Mongrel Media," June 30, 2017",6,"Medieval nuns Alessandra (Alison Brie), Fernanda (Aubrey Plaza), and Ginevra (Kate Micucci) lead a simple life in their convent. Their days are spent chafing at monastic routine, spying on one another, and berating the estate’s day laborer. After a particularly vicious insult session drives the peasant away, Father Tommasso (John C. Reilly)… Expand",Jeff Baena,Comedy,90
Chasing Trane: The John Coltrane Documentary,2017,Abramorama," April 14, 2017",7.4,"Featuring never-before-seen Coltrane family home movies, footage of John Coltrane and band in the studio (discovered in a California garage during production of this film), along with hundreds of never-before-seen photographs and rare television appearances from around the world, Coltrane's incredible story is told by the musicians that… Expand",John Scheinfeld,Biography,99
Fatima,2016,Kino Lorber," August 26, 2016",-1,"Fatima (Soria Zeroual) lives on her own with two daughters to support: 15-year old Souad, a teenager in revolt, and 18-year old Nesrine, who is starting medical school. Fatima speaks French poorly and is constantly frustrated by her daily interactions with her daughters. Her pride and joy, they are also a source of worry. To ensure the best… Expand",Philippe Faucon,Drama,79
Hannah Arendt,2013,Zeitgeist Films," May 29, 2013",6.4,A look at the life of philosopher and political theorist Hannah Arendt who reported for The New Yorker on the war crimes trial of the Nazi Adolf Eichmann.,Margarethe von Trotta,Biography,113
Head Games,2012,Variance Films," September 21, 2012",-1,"Head Games is a revealing documentary about the silent concussion crisis in American sports. Athletes from the professional to the youth levels share their personal struggles in dealing with the devastating and long-term effects of concussions, an epidemic fueled by the 'leave everything on the field' culture so prominent in American sport.… Expand",,Documentary,-1
Frontrunners,2008,Oscilloscope Pictures," October 15, 2008",-1,"Frontrunners is a political documentary that follows the student council presidential campaign at one of the country’s most prestigious public high schools: Stuyvesant High School in New York City. An entertaining and symbolic campaign film, put forth in classic verite style, we follow four charming and idiosyncratic candidates as they… Expand",Caroline Suh,Documentary,83
Giorni e nuvole,2008,Film Movement," July 11, 2008",-1,"Well-to-do, sophisticated couple, Elsa and Michele, have a 20 year-old daughter, Alice, and enough money for Elsa to leave her job and fulfill an old dream of studying art history. After she graduates, however, their lives change. Michele confesses he hasn't worked in two months and was fired by the company he founded years ago. Elsa… Expand",Silvio Soldini,Drama,118
Be Here to Love Me: A Film About Townes Van Zandt,2005,Palm Pictures," December 2, 2005",7.8,"A documentary portrait of Townes Van Zandt, the ultimate songwriter's songwriter who had a profound impact on generations of musicians. (Palm Pictures)",Margaret Brown,Biography,99
Warm Water Under a Red Bridge,2002,Cowboy Pictures," May 3, 2002",6.3,An erotic comedy revolving around young woman's emotional state.,Shohei Imamura,Drama,119
River of Grass,1995,Oscilloscope Pictures," August 4, 1995",-1,"Kelly Reichardt’s darkly funny debut feature, brought the writer/director back to the setting of her adolescence, the suburban landscape of southern Florida, where she grew up with her detective father and narcotics agent mother. Shot on 16mm, the story follows the misadventures of disaffected house-wife ""Cozy"", played by Lisa Bowman, and… Expand",Kelly Reichardt,Drama,76
Escape from the Planet of the Apes,1971,Twentieth Century Fox Film Corporation," May 21, 1971",6.6,"The world is shocked by the appearance of three talking chimpanzees, who arrived mysteriously in a U.S. spacecraft. They become the toast of society; but one man believes them to be a threat to the human race.",Don Taylor,Action,98
The Russians Are Coming the Russians Are Coming,1966,United Artists," May 25, 1966",-1,"Without hostile intent, a Soviet submarine runs aground off New England. Men are sent for a boat, but many villagers go into a tizzy, risking bloodshed.",Norman Jewison,Comedy,126
